
> axiomancer-mechanics@0.37.0 combat-playtest
> ts-node src/CLI/combat-playtest.cli.ts --stage=all --policy=all --runs=60 --seed=1 --sandbox=conjure-exercise --cards


Hazard combat playtest — stages=[early, mid, late, impossible] policies=[greedy, blind, dot-weaver, control-lock, aggro-brute, turtle, chaos, mercy-seeker] deck=policy-pick runs=60 seed=1
Sandbox set applied: conjure-exercise (2 cards, 0 overrides)

Hazard combat playtest matrix
(win = enemy HP→0 or befriend-spare; V/M/D/R = victory/mercy/defeat/retreat;
 statusEng + dotFrac are the doctrine witnesses: status play is the efficient path;
 util=deck utilization, H=play entropy, dom=dominant-card HP share (>70% = spam))

  stage      enemy                     policy       deck                    win  V/M/D/R     rounds statusEng dotFrac strike  util    H   dom
  mid        mirac                     control-lock policy-pick           vic=  4 mer=  0 cap=  2 con=  0 def= 54
  mid        mirac                     aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        mirac                     mercy-seeker policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             dot-weaver   policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             control-lock policy-pick           vic=  6 mer=  0 cap=  4 con=  0 def= 50
  mid        hasshaku-sama             aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        hasshaku-sama             mercy-seeker policy-pick           vic=  1 mer=  0 cap=  0 con=  0 def= 59
  mid        jeweled-tree              greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              dot-weaver   policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              control-lock policy-pick           vic= 18 mer=  0 cap=  4 con=  0 def= 38
  mid        jeweled-tree              aggro-brute  policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              turtle       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              chaos        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        jeweled-tree              mercy-seeker policy-pick           vic=  2 mer=  0 cap=  0 con=  0 def= 58
  mid        rawhead-rex               greedy       policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               blind        policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               dot-weaver   policy-pick           vic=  0 mer=  0 cap=  0 con=  0 def= 60
  mid        rawhead-rex               control-lock policy-pick           vic=  2 mer=  0 cap=  0 con=  0 def= 58
